no,content
226,주말에는 대구여행을 다녀왔어요 동생과 함께 떠난 1박2일 여행이었는데 가고... 간략하게 여행 포스팅을 해볼게요 아침 9시에 집에서 출발해서 부산역에서 대구역으로...
227,길에 핀 튤립들 봄날씨와 넘나 어울리네여 봄처녀 튤립이 늘어선 이쁜 길이 있는 대구 대구여행 넘나 잼따 당충전 하고나니 세상이 달라보이네여0_0
228,※ 여행 코스 : KTX 동대구역 - 미성당납작만두 본점 - 동산청라언덕 - 3.1만세운동길 - 계산성당 - 이상화고택 - 김혜민 코레일 명예기자
229,"대구 전동 안빛고을 시래기 정식 전문점 짧았던 대구에서의 1박 2일 마지막 날... 주변에 어르신들과 여행 온 모녀는 굉장히 흡족해 하는 것 같았는데, 우리가 워낙..."
230,"2019.07.13 #부산근교여행 백반기행에 나온 꼭 먹고싶었던 메뉴들의 동선을 짜봤다.... 힘들어서, #식객허영만의백반기행 대구편 보다가 ㅋㅋ 우리가 갈곳은 저기다!!!!!!!..."
231,[대구여행] 5분???.. 그거면 충분해.. 대구 수목원.. 햐.. 내일 6시 출근이라 뭘 할 수가 없네.. ㅠ ㅠ . 수목원에 오자마자 가감님의 호출???.. . 훗.. 까짓 거 5분이면...
232,"대구 토박이 친구와 함께한 대구 여행!! 선선한 가을바람이 기분 좋은 요즘, 대구... 10개주는 대구 클라스. 진심 감동받았다. 짧고 굵었던 1박 2일 대구 먹방 여행 끝!!!"
233,대구여행 가볼만한곳 한국관광 100선 김광석 다시 그리기길 대구여행 가볼만한곳 김광석 다시 그리기 길은 한국관광 100선에 선정되어 있는 대 구의 대표적인...
234,"그래서 대구 여행 첫 카페로 정해서 다녀왔어요, 요즘 샌드위치 잘하는곳이 많아서... 호텔이에요 대구 1박2일 여행 코스중 첫날밤 숙박할곳! 호텔 가격이 진짜..."
235,진짜 엄청 멋있더라고요~ #대구여행 #풍등축제 #대구달구벌관등놀이 행사는 두류공원 두류 야구장에서 진행이 되었어요! 역에서 10분 정도 걷다보니 나오더라고요....
236,대구여행 대구 한옥카페 퍼센트 14-3 대구에서 교육을 받는 동안 갔던 카페 중에서 내가 가장 좋아했던 곳. 밤에 가서 더 분위기 있었던 대구 카페인 퍼센트 14-3...
237,대구가 처음인 서울사람과 대구에서 태어난 사람이 함께했던 대구여행 포스팅 하나. 대구에서 시작한 프랜차이즈인 토끼정에서 점심 먹기 여행을 가면 그 지역의 유명한...
238,"이상 가을에가면좋은곳 대구 가을여행지 불로동고분군 포스팅이었습니다, #대구여행 #가을에가볼만한곳 #가을에가면좋은곳 #가을여행지 #불로동고분군"
239,대구 가면 들려야할 감성적인 곳 안녕하세요 여행하는 나우쮸입니다 ;) 오늘은 대구 여행 김광석거리 카페 포스팅을 해보려고해요! 제가 오래전에 갔을때는 근처에...
240,날 좋을 때 올라오면 너무 좋은 앞산 전망대 대구 여행자에게도 좋아보이고 나들이 나온 대구 사람들에게도 좋아보임 ! 다음에는 야경보러 밤에 올라와봐야겠다
241,대구여행 유네스코 세계유산에 등재 된 달성군 도동서원 대구 달성도동서원은 참 좋아하는 여행지중 하나다. 대구에 올 때 마다 들리게 되는 최애(最愛)장소이다....
242,대구 여행을 가기 전에 대구 맛집을 알아보다가 오므라이스 비주얼만 보고 찾아간 '테이블투쉐어' 수성못 인근 대구의 한 동네에 위치하고 있는 테이블투쉐어...
243,blog.naver.com >>대구축제 대구여행 할인받고 예약하기<< #대구축제 #대구국화축제 #2019국화축제 #대구나들이 #대구주말데이트 #대구가볼만한곳
244,포스팅을 따로 남겨볼 예정이다 ㅎㅎㅎ 아직 가본 장소보다 못가본 곳이 더 많아 조만간 다시 한번 찾고싶은 대구 봄맞이 여행을 계획중이라면 대구여행도 괜찮을것 같다~
245,"[대구여행] 현재 진화(evolution)중???.. 대구 송해공원, 사문진주막촌.. 휴.. 이게 뭐라고 4시간 동안 꼼짝도 안 했어.. ㅋㅋ.. . 일요일 늦은 오후.. 여기 갈 곳을 잃은..."
246,"^^ 360년 전통의 대구약령시에서 펼쳐지는 2019 한방축제는, 5월 대구여행 시... 도심 곳곳의 골목투어를 비롯하여, 대구약령시의 건강한 여행이 되는 5월의 축제!..."
247,"미루고 미루던 대구여행을 드디어 다녀왔다. 만삭의 몸으로 이리뛰고 저리뛰었던 짱쩡윤에게 감사의 말을 ㅋㅋㅋ 여긴, 대동면옥이라고 이미 대구에서 유명한..."
248,▽ 동성로 맛집 <중앙떡볶이> [대구여행] 서울역에서 KTX타고 동대구역→ 대구 동성로맛집 @중앙떡볶이 2019.03.30 ~ 03.31 대구 여행#대구여행 #3월대구...
249,"가까운 대구로 가는 것이기도 하기에 차량은 주차장에 두고 기차여행으로 이동했네요. 6살 8살 9살 울 딸래미는 외동이긴하지만, 이날 함께 대구여행하는 아이들은..."
250,한번도 가보지 못한 국내여행지 대구 !! 제가 좋아하는 음식들..... 매운갈비찜부터... 만족스러웠던 대구 여행 에어비앤비 숙소!! 국내여행으로 대구 여행 가실 분들께...
251,"도시철도 1, 2, 3호선 타고 대구 여행코스 도장깨기 2018 대구도시철도 스탬프 투어! 1, 2, 3호선 도시철도 타고~ 여행도 하고~♪ 여러분의 여름방학을 함께했던..."
252,"가을, 겨울 방문할 때마다 또 다른 느낌을 받을 수 있을 듯!! 즐겁고 놀다 온 주말 나들이 아이들과가볼만한곳 대구여행코스 에코테마파크 대구숲 다녀온 후기였습니다."
253,대구여행 대구 약령시 약전골목과 대구 약령시한의약박물관 대구광역시 중구 남성로에 조선시대 부터 형성된 대구 약령시 약전골목과 대구 약 령시한의약박물관을...
254,생일마다 짧게 여행을 가거나 1박을 하고 오는데 6월생 친구가 가장 좋아하는 디저트를 먹기 위해 대구 여행을 계획했습니다. 네... 무계획이 계획이었슴다. 1월에...
255,국내 여행으로 완전 강추드리는 대구 여행! 그 이유는 바로바로바로 셀 수 없이... 다시 대구 가고싶은 심정이에요 짬뽕 등장!!!! 먹기도 전에 매운 냄새 작렬이에요...
256,타지에서 대구에 여행을오면 보통 안지랑 곱창골목을 많이가죠 하지만 그곳은... 명심하세요 대구여행 = 구공탄 막창 본점은 서구청쪽에있고 이곳은 체인점이에요...
257,마시다가 북성루커피랑 비엔나커피 섞어마심ㅋㅋ 대구여행 즐겁다 #대구여행 #대구예술발전소 #수창청춘맨숀 #대구카페 #더디퍼 #대구사진찍기좋은카페 #더디퍼카페
258,2019.08.23부터 24일까지 이틀간 대구 약령시와 청라언덕 일대에서 진행된 대구 문화재야행을 다녀와보았다!! (이번 리뷰는 사진이 방대하여 간단한 내용과 함게 프리뷰...
259,벌써부터 대프리카는 너무나 덥기에 요런 곱창을 좀 먹어줘야한다며~ 영양만땅이쥬~~~ 이 거리는 대구로 여행오시는 많은 여행자분들이 꼭! 들리는 필수 코스로도...
260,설렌다구요 #대구여행 시작 왜냐면 마싯는게 기다리니까 #유창반점 에피타이저... 둘이서 싹싹 비웠네 ㅋㅋㅋㅋ 1일 1카페는 해야죠~~ #더웨스턴대구 자리앉아서 보는데...
261,"대구 여행을 가기 전에 알게 된 삼덕동 동성로 인근 주택가에 핫한 카페, 맛집이 들어서면서 대구 핫플레이스인거 같은데, 서울로 따지면 연남동 같은 곳인가!?..."
262,"처음으로 대구에서 여행 강의를 하게 되었습니다. 여행 강의를 하러 가지만, 대구 여행한다는 설렘을 안고 KTX를 탑니다. KTX 타고 갈 때마다 생각되는 게, 이리도 대구가..."
263,번 여행으로 둘러보자 하고 경주간 김에 대구도 둘러 보았다. 그래서 대구 가기... 곱창냄새 아주 진하다 진해!!ㅋㅋㅋ 강렬한 곱창냄새 만큼이나 이번 대구 여행에선...
264,재루리와의 대구여행 나의 여행 메이투 재니 여름을 맞아 여행 가자고 가자고 하다가 그녀의 삼성 라이온즈가 있는 대구로 SRT 랑 숙소랑 예약하고 나니...
265,10시쯤 대구 여행 첫째날 전에 방문했던 왕거미식당 가격이 참 많이 올랐다. 이거... 대구 첫째날 여행의 마지막 카페까지 방문하니 남친 다크써클이ㅋㅋㅋㅋ 진짜...
266,#대구여행 #대구맛집 #대구곱창전골 대구먹방여행 마지막밤! 원래 계획은 평화시장닭똥집 먹기인데 우유가 안맞았던건지 미식거리구 멀미까지해가주구 매콤한...
267,무궁화호 간격이 넓어서 좋고 풍경보며 앉아있는게 정말 최고야 기차여행의 진가 #기차여행 #대구여행 #부산에서대구 #무궁화호 #코레일톡 #구포역 #동대구역 #동성로...
268,대구 여행 ㅣ 대구 가볼만한곳 수목원 내 풍년화도 꽃망울을 터뜨리고.. 정말 봄이다. 대구수목원도 크게 확장할 예정이고. 혁신도시 인근에 제2수목원도 만든다고 하니...
269,#엄마랑대구여행 #모녀여행 일주일 회사휴가받고 대구를 다녀왔다. 말이 이박삼일이지 대구 가는날엔 운전하느라 진빠져서 숙소에서 쉬고 아침일찍 서울올라가서...
270,오늘 소개할 대구 나들이 장소는 대구 달성군에 위치한 달성습지생태학습관 입니다. 달성습지생태학습관은 화원유원지와 가까워서 주말에 함께 나들이 하기 좋은 곳...
271,대구 여행 ㅣ 구 동촌역 옹기종기 행복마을 대구선이 폐선되고 남겨진 간이역인 구... 그래도 1930년대엔 활기가 넘쳤을 옛 동촌역 모습을 상상하면서 시간여행을...
272,세트 4번을 시켰다 예전에 대구에 와서 먹었던 생막창이 너무 맛있던 기억이 있어서... 너무 우리 취향 저격이어서 계속 사진 찍음 그렇지 않아도 이번 대구 여행에서 둘...
273,이러고 있었습니다...ㅋㅋㅋㅋㅋㅋㅋㅋ 이거 정말 여행 꿀팁인데 많은 분들이... 두번째 대구여행 코스 대구 카페 중에서 가오픈한 곳이나 오픈 한지 얼마 안된 곳을 마구...
274,추천 // #대구#동성로#대구근교나들이#대구나들이#대구여행#대구데이트코스#대구등산코스#대구산책로 대구경관자원 52선 중 하나 !! 진달래 군락지 & 코스모스 구경하기...
275,"#대구여행 #대구가볼만한곳 #대구능소화 #남평문씨본리세거지 2019.06.26 대구여행 남평문씨본리세거지 능소화 보러 다녀온 날. 올 봄, 대구 가족여행때 처음 알게 된..."
276,"이놈의 대구날씨란 정말.. ㅎㅎ 5월에도 추운 날씨에 실내 갈만한곳 열심히 다니다가 갑자기 시원한 곳을 찾아야 할 판인데요, 요즘같이 더운날 대구 여행 가기 좋은곳..."
277,[대구여행] 비 내리는 도동서원을 홀로 걷는 이 마음???.. 대구 도동서원 백일홍.. ㅋㅋㅋ.. 실은.. 같이 걸었어요.. . 가감님이랑.. 인근 카페에서 시원한 망고 스무디 한...
278,대구에는 근대골목 투어라는 코스여행이 있더라구요. 자세히는 모르지만... 작년에 다녀온 대구여행 포스팅 이제야 마치네요 ㅎㅎ 틀린 부분이나 잘못된 부분이...
279,"설레는 대구 여행 시작하는 아침~ 간단히 뭘 먹고 시작하려고 숙소와 가까운... 배고픔 살짝 가시고, 따뜻한 국물에 담백한 음식까지. 여행의 좋은 스타터 :P"
280,나의 가장 반짝이는 대학시절을 대구에서 보냈기에 대구에 내가 좋아하는 곳이 참... 추억여행? 같았다 ㅋㅋ 왜 모든 체인점은 김천에만 오면 맛이없어질까?라는 이상한...
281,마지막 여행이다 싶음 대구로 고고~ 기차 타고 넘신남 서문시장가서 먹거리 탐방 칼수제비도 먹고 곰탕라떼도 구경하고 곰이 커피원액 다 녹아야 맛있음 ㅋㅋㅋㅋ...
282,제대로된 가을여행 힐링여행하고오세요 다들 청도하세오 #가을여행지추천 #대구근교여행 #청도여행 #대구여행 #가을여행추천 #힐링여행 #청도 #청도놀거리 #청도힐링
283,생각해보니 대구에도 멋진 벽화마을이 있지요♬ 대구 달성군에 위치한 마비정... 가족나들이나 대구여행코스 로도 좋을 듯 합니다 :) 제가 찾았던 때는 6월말이었나...
284,"그래도 꿀잼이었던 대구여행! 먼저 대구에 도착해서는 너무 배가고파서 대구맛집을 찾아보았어요! 대구에는 맛집도 많고, 체인점들이 많이 파생된다고 해서 이래저래..."
285,"2박3일 대구여행 기차표랑 숙소만 미리 예약해놓고,, 여행가기 전날까지 코스는 짜지 않고 그냥 무작정 금요일 퇴근하고 대구로 떠났습니다! 대구 1일차 1일차 일정..."
286,"대구여행 대구 산격동 사진관에서 경성시대 1인 촬영하기! 거의 한 달을 쉬고 돌아온 블로그... 오랜만이라 그런지 내 공간인데도 너무나 낯설게 느껴지는데, 조만간..."
287,본론으로 돌아와서 저희의 대구 여행 2일차 후기랍니다. 저번에 대구를 방문한 적이... 사실 도시에서도 흔하게 볼 수 있는 풍경인데도 '여행'이란 사실 아래에서 더욱 더...
288,- 대구여행. 6월에 여행가자던 우리의 계획이 실현됬다. 각자 연차를 내고... 찾아간 대구 수성못 고기집 '칠복식당' 대구하면 안지랑막창이지만 먹어봤으니까 색다른...
289,"대구여행일상 이야기 입니다. 7월 셋째주에 대구에서는 여행같은 일상, 일상같은 여행이에요. 지낸 5일동안 동네 주민처럼 살았거든요. 집에 멸균우유가 많아서 치즈를..."
290,상큼 터지는 딸기 디저트 여행! 출발합니다. SRT타고 대구여행 출발! 서울에서 대구를 가장 빠르고 편하게 가는 방법은 단연 고속철도를 이용하는 것입니다. 이번...
291,"대구 여행 : 근대로의여행 “근대문화골목” 대구 여행 : 근대로의여행 “근대문화골목”Daegu, Korea대구 근대로의여행 골목투어 - 근대문... soje1234.blog.me 이번..."
292,달성군의 멋진 여행지 계속 소개해 드릴게요~ #출렁다리 #흔들다리 #대구여행 #대구출렁다리 #대구흔들다리 #송해공원 #달성군 #송해공원출렁다리 #송해공원흔들다리 #여행
293,아마 이번 포스팅이 대구여행 마지막 포스팅이 될것같다 마지막으로 소개해볼... 좋은 여행코스가 될것같은 대구 앞산 앞산케이블카를 타고싶다면 낮보다는 밤을...
294,"존재 ▼ 대구 여행, 대구 김광석 거리 , 대구 이월드놀이기구를 이용하려면 오전부터 일찍 가는걸 추천해요!!! 그런데 꽃구경과, 사진찍고 데이트 하실분들은5시 이후..."
295,"대구 가볼만한곳, 알찬 대구여행 프롤로그 제주 촌놈의 육지 여행기. 아주 오랜만에 2박 3일간의 여행. 제주 섬에서 잠시 벗어나는 시간. 하지만, 비행기를 타자마자 섬이..."
296,되게 오랜만에 기차타고 여행하는 것 같더라구요. 저희가 꽤나 오랜 시간... 대구 여행 중 대구의 하늘은 이렇게 예쁜가요? 저희의 대구 여행을 축하라도 하는 듯이 맑게...
297,늘 이 노래를 들을때마다 청라언덕은 어느곳에 있을까 궁금했는데 알고보니 대구에... 간 대구여행이지만 여기저기 욕심부리지 않고 여유롭게 이곳에 앉아 여행을...
298,대구여행 봄 같은 여름 날씨 하중도 유채꽃. 대구 하중도 유채꽃 단지 개방은 5월 7일까지.. 지난 주 갑작스레 더웠던날 다녀왔었지요. 대구 날씨를 비롯해 지역의...
299,"대구, 하면 보통 먹는 여행을 바로 떠올리는데 이번 여행에서 뜻하지 않게 '대구는... 카페 : 인테리어, 소품 다 취향 저격 카페,, 대구 로맨스 빠빠 이번 대구 여행..."
300,"< 대구 여행 > 가고 싶은 카페도 가고, 새도 보고, 개도 보고 랭면도 먹고, 여기... 발전과 멋짐은 서울의 것과 같거나 이상이었습니다. 대구 생각보다 좋은 곳이네요. 끝"
301,"< 대구 여행 > 가고 싶은 카페도 가고, 새도 보고, 개도 보고 랭면도 먹고, 여기... 발전과 멋짐은 서울의 것과 같거나 이상이었습니다. 대구 생각보다 좋은 곳이네요. 끝"
302,"만약 정말 본격적인 여행, 휴가를 목적으로 대구에 왔다면 이쪽에 숙소를 잡지는 않았을 테지만 짧은 1박 2일 일정에 라이온즈 파크에서 야구를 보고 온 동생과..."
303,대구여행 대구 서문시장 카페 로맨스빠빠 교육 때문에 대구에서 머무르는 동안 대구에 있는 예쁜 카페들을 많이 찾아가 보겠다-는 큰 포부를 가지고 갔으나 결국 4...
304,"▲ 대구여행 가볼만한곳, 김광석길은 빠지지 않는 곳이지요. 대구, 제겐 참 먼... (김광석길과 김광석다시그리기길, 같은 길이랍니다!) 글과 사진 ㅣ 대한민국을 여행하는..."
305,후기였슴당♡ #대구여행코스추천 #대구청라언덕 #대구김광석다시그리기길 #대구갈만한곳 #대구김광석거리 #대구가볼만한곳추천 #대구서문시장 #대구포토존...
306,볼건 없어도 먹을 건 많다는 대구로 아침 8시부터 무궁화호를 타고 출발!... 내가 다시간다면 8개를 구워야지 낄낄 교동 게스트하우스 대구여행을 결정하고...
307,신랑이 지인의 결혼식에 참석하는 김에 내 생일 겸사겸사 가을 여행을 다녀왔다. 대구는 이번이 두 번째였다. 첫 번째 대구여행도 결혼식 참석 후 당일치기였다....
308,이번여행은 오랫만에 에어비앤비를 이용했다! 숙소를 정할땐 홀수보단 짝수의... 대구지리를 잘 모르지만 대구시청 주변이면 여기저기 돌아다니기 좋을거 같아....
309,후 여행 2박3일 대구여행 안녕하세요 여러분 류진입니다 >.ㅇ 드디어 삼일차.... 이제 돌아갈 날이 되고야 말았네요 ㅠㅠㅠㅠ 저희는 느즈막히 숙소를 나와서 동대구역에...
310,김광석거리 마지막 대구 여행코스는 쎄라비에서 지하철로 이동할 수 있는 대구 김광석거리입니다. 7월 국내 여행지 추천 장소 중에서도 대표적인 곳이죠. 이곳은 대구...
311,대구 이월드 별빛축제 외에 다양한 행사와 내용은 공식홈페이지를 참조하시기 바랍니다. 지난 대구여행때 밤에 들려보았었지요. 가족들도 많이 오시고 커플도 많이...
312,blog.naver.com ▲ 대구 <북성 공구골목> 포스팅 링크 [대구여행]옹기종기 벽화마을 대구에서의 1박 2일 그 마지막 여행지는 이름만 들어도 기분이 좋아지는 옹기종기...
313,대구여행 2019 대구 풍등축제 광목천왕존 작년에 우연히 사진을 보고 나서 너무너무... 대구 풍등축제'를 올해 드디어 다녀왔다. 친구랑 벚꽃 구경을 갔던 지난 경주여행...
314,그래서 대구 여행 3일차에 일어나서부터 기분이 좋더라구요. 즐겁게 놀이기구 탈... 시원하고 달다구리해서 맛있었어요~ 대구 여행에서 증말 먹기만 하다 가는것같네요...
315,편의시설로 편리한 대구역 대구여행하기도 좋아요!! 대구도시철도 1호선 대구역입니다. 대구역 앞의 칠성바위입니다. 원래는 고인돌의 개석으로 대구역 서남쪽에...
316,#대구여행 오신 분들은 물론 #대구이색체험 원하시는 대구 시민 분들께도 추천해드리는 공감한옥에서의 하루 2 오후가 되니 햇빛이 촤라라 따뜻하게 저희를 비추고요....
317,#대구여행 가을여행주간에 꼭 가봐야할 곳으로 김광석 거리를 소개해 봅니다.... < 김광석에 대하여 > 1964년 대구 대봉동에서 태어났고 1984년 김민기의 '개똥이' 음반에...
318,느낌가는대로 끌리는대로 여행다녔던 대구 여행코스. 다음핫플은 대구에서 커플들에게 인기있는 장소라고 해서 저희도 대구여행간김에 이색체험을 즐겼습니다. 대구...
319,대구여행하며 들렀던 #최가네케이크 꼬마 생일파티할 겸 조각 케이크 샀는데 많이 안 달고 맛있어서 성공적이었다! #대구 카페 #대구케이크맛집 인정 인정 *최가네케익...
320,오늘은 운동삼아 구경다녀온 대구 마비정 벽화마을 잠시 소개합니다. 버스의 종점입니다 ㅎㅎ 달성군 화원읍에 위치하고 있네요. 대구여행 오시는 분들은 간혹...
321,#대구여행 #대구시티투어 이번 대구여행의 꽃은 김광석버스라고 할만큼 여행 신청하면서 부터 기대했던 시간 ~ 숙소였던 대구 노보텔 호텔에 짐을 잠깐 풀고 나왔더니...
322,경상도 여행일상 대구이야기 입니다. 아마도 대구여행일상의 마지막 포스팅이 되지 않을까 싶네요~~ 저희가 대구를 방문했던 6일 동안 지인 분네 집에서 신세를 졌던...
323,"대구 여행코스 ㅣ The ARC 강문화관 디아크 The ARC 죽곡산에서 내려다보이는 낙동강과 금호강이 만나는 곳에 재미있게 생긴 건축물이 자리하고 있다, 바로 대구 야경..."
324,28 (일) 포스팅이 늦었지만 소소했던 대구여행을 정리해보았습니다. 계산성당... 하며 대구에서의 여행은 마침표를 찍었습니다. 동대구역에 약 2시간여 일찍...
325,"누가 대구여행 중에 괜찮은 곳이 있었더냐,물어보면 대구문학관 좋았더라고 말할 수 있을 것 같다. 관람료도 1,000원이라는 착한 가격이라서,강추강추!"
326,대구여행중 2019.11.3~11.5 11.5일 회사 창립기념일이라 4일 강제연차 나의사랑 대구로 여행옴ㅋㅋ동대구역에서 내리자마자 미미짬뽕~ 진짜 국물이 끝내줌찹쌀탕슉...
327,이번에는 여행 중 빼놓을 수 없는 대구에서 사진찍기 좋은 곳 BEST 3... 같이 대구여행온 언니와 함께 삼각대와 피크닉 제품을 이용해서 사진 찍었는데 넘넘...
328,#대구여행 중 대 만족했던 대구시내 에어비앤비 숙소 추천 대구 시내 숙소... ♥ (숙소 관계자 아님^^;ㅋㅋ) 가족여행이나 친구들끼리 대구여행 할 때 추천...
329,대구 김광석거리 촬영시간 20분 사진셀렉 및 인화시간 20분 가격 한장 만오천원... 산책~ 대구 살면서 김광석 거리 첨와봄ㅋㅋ 야외 테이블있는 카페에서 커피도...
330,약간 서울의 을지로나 익선동 카페 비슷한 느낌 대구 김광석거리 카페로 잘 찾았다 대구여행 중 우연히 찾은 카페 인화는 인스타감성 사진 찍을 것들이 많다 ㅋㅋㅋ...
331,대구의 막창 집을 헤매었습니다. 안지랑 골목도 갔었는데 안지랑 골목의 막창도... 막창 대구여행 영상을 만들려고 하는데.... 영상은 편집 시간이 너무 오래 걸리고......
332,대구여행으로 다녀왔던 '대구 김광석거리'에서 그를 찾아봅니다. 대구 가볼만한곳 중에서 대표적인 곳이기도 하지요. 주차장이 별도로 없기 때문에 유료주차장을...
333,m.blog.naver.com 대구 수성못 맛집 데이트 [에그베리11] 스테이크 오므라이스 / 청양크림 파스타 EGG BERRY 11 in 대구#시간11:30 ~ 21:30#에그베리11대구여행 둘째날! 수성못...
334,"없는 여행을 떠날 수 있는 곳이 바로 대구인데요, KTX를 이용하여 동대구역에 내리는 경우를 기준으로, 하루 당일치기 대구 여행코스를 지금부터 소개해 보도록..."
335,이어지는 '근대골목 빵투어'까지.. #대구여행 #대구당일치기여행 #대구근대골목투어 #대구청라언덕 *본 포스팅은 PC버전으로 정독 하시는 것을 추천해드립니다.
336,다녀온 지 한 달 만에 다시 대구를 찾았습니다. 여행 주간에 맞추어 가을 대구여행을 하고 왔는데요. 차일피일 미루다 보니 다녀온 지 일주일 하고도 훌쩍 넘겨...
337,붙어있어서 대구 근대여행 코스로 많이들 다녀오시더라구요~ 저도 이번에... 곳에서도 대구 여행 인증샷은 필수! 피란민의 어려웠던 삶을 보여주는 깡통을 파는 소년...
338,친구와 함께 대구여행을 떠난날 원래는 이날 넷이서 여행가려고했는데 여차저차해서 둘이서 급대구를 결정! 대구는 처음이라 떨렸음 희희 ktx를 타고 수다떨다보니...
339,"대구여행 김광석거리 맛집 대쿠이 대구여행, 아니 사실은 대구출장 중에 알게된 김광석거리 맛집 대쿠이 !! 서울로 가져오고싶은 돈까스 맛집이당 혼자서 엄청 맛있게..."
340,"추억의 여행지로 대구 여행중 찾아 볼만한 장소였습니다. 위치: 대구광역시 수성구 두산동 가는법: 대구 도시철도 3호선 수성못역 하차 대구 시내버스이용시 401, 403, 410..."
341,나서야 새벽 한참이 지난 후 그 친구들도 잠에 들었다....^^ - 아무튼 대구 교동 게스트하우스 후기는 여기까지 ㅎ 다음날 본격적인 여행을 기대하며 어쨌든 굿나잇 -
342,"대구여행 가볼만한곳,대구예술발전소 대구 뉴_바우하우스 전시회 대구예술발전소 대구 뉴_바우하우스 2018.10.10.수 ~12.09.일 9월 말에 2018 대구사진비엔날레가 열리던..."
343,"동대구역 대구여행을 마치고 다시 집으로 돌아갈 시간입니다. 감성충전 예술 여행지부터 앞산전망대, 야시장까지 알찬 투어를 마치고 SRT 열차를 타고 다시 서울로..."
344,대구 여행. 특별히 서울에서 내려온 동생과 함께 했다. low fence 로우펜스 커피 대구... 태풍 때문에 이 여행을 진행해야 할지 말아야 할지 고민하다 떠났는데 하늘을 보니...
345,"대구로 떠나는 1박2일 #맛집투어 ::) 여행의 꽃은 휴게소 휴게소의 꽃은 #소떡소떡ㅎ... 완벽한 #대구여행 이 되었다!! A - #리오다 , 오므라이스가 이쁘고 맛있는집 B..."
346,대구 여행 갔다왔어 진짜 좋더라고. 갈 때는 서울역에서 itx-새마을호 기차를 타고 갔는데 나는 수원 살아서 기차를 자주 탔는데 친구들은 거의 안 타봤다고 하더라고....
347,대구 여행 첫 번째 코스로 찾은 곳은 바로 대구 서문시장입니다. 서문시장은 조선 후기 삼남에서 가장 큰 시장이었고 전국 3대 시장의 하나로 꼽혔는데요. 대구에서 가장...
348,인지 대구 빵집순례 여행으로 많은 분들이 찾는 곳!!! 1박2일 대구여행 일정 2일차 코스 대구 여행 2일차에는 역사여행을 중심으로 즐겼어요 근대골목 투어를 시작으로...
349,대구여행 대구가볼만한곳 대구 네이처파크 위치 대구 달성군 가창면 가창로 891 전화번호 1688-8511 영업시간 평일 10:00 - 17:00(매표마감 16:00) 주말 10:00 - 19:00(매표마감 18...
350,다양한 대구 여행코스가 준비가 되어 있어요 자세한 내용은 대구 관광 블로그 참고하셔서 대구 여행 일정 준비해 보셔롸 ~~ ^^ 개별 여행 포스팅은 하나씩 준비해보겠음돠
351,"국내여행지중에 대구를 소개해드리겠습니다 :) 동성로 쇼핑, 카페, 맛집, 백화점... 추구하는 여행스타일에 맞는 계획짜서 알찬 대구여행 되세요 :) 다른 궁금한점은..."
352,대구여행 : KTX타고 대구 홍익돈까스 * 대가 없이 사비로 다녀온 여행기 입니다 : ) 대구에 처음으로 가본 여행기입니다~ 한국에 오랜만에 나온 것만으로도너무 좋은데...
353,주목받는 대구광역시. 대구여행하면 보통은 대구 시내를 중심으로 한 도심권으로... 대구광역시의 외곽으로 벗어나면 강변 풍경과 탁 트인 전망을 보기 좋은 여행지들이...
354,그때 대구 여행이 너무 좋았어가지고~ 이번에는 여행 패밀리무리와 함께 다녀왔답니다~~ 여기는~~ 대구는 아니구요~~ 대전에서 유명한 곳이라네요~ 사실... 대구를 가기전...
355,"대구 여행코스 1박2일 대구여행 #대구여행 #대구맛집 1박2일 대구여행 1일차 , 안지랑곱창골목 지난 대구여행에서 대실패했던 대구 막창을 다시 먹기위해서..."
356,다녀왔던 대구 스파밸리 숙소 호텔드포레 아빠와 꼭 가고싶다고 했던 아들때문에 이번에 다녀왔는데요~ 느긋하게 힐링하고 왔답니다. 대구여행코스로 호텔드포레의...
357,금토일월 2박3일 같은 3박4일 여행 스타트 첫날은 회사 끝나고 만나서 닭한마리만... 케텍타구 대구 고고 안녕<U+270B> 흥미니다 !!!!!!!!!! 김동한 포토존 향촌문화관 ? 입장료...
358,"대구로 여행을 오시는 분들은 대구여행에 특별한 기념품이 있는지 찾기 마련입니다. 특히나 대구근대골목투어를 통해 대구약령시를 둘러 보신 분들은, 평소에..."
359,주말을 맞이해 당일치기로 놀러간 대구여행 첫번째는 사진에도 나왓듯이... 굉장히 좋은곳이 많더라구 대구에서 찜갈비.따로국밥등 맛난거 많이드세요 #대구당일여행
360,#우야지막창 #대구여행 #대구먹방 #대구먹방여행 #대구맛집 #동대구맛집 #동대구역맛집 #대구막창 #대구막창맛집 #대구존맛 #대구우야지막창 #동대구역우야지막창
361,대구 여행 :: 수성못 카페 포켓(pocket) +동촌유원지 4월 27일의 기록 주말마다 참 잘돌아다니는 덕이... 이번주는 대구를 다녀왔어요 덕이의 고향오빠인 강민오빠가 결혼을...
362,11월에 대구로 시집간 친구네 집들이 겸 여행 겸 해서 대구여행을 다녀왔당! 금요일에 도착하자마자 친구 집에 짐 풀고 먹으러갑시다!!! 예전부터 다른친구가 맛있다고...
363,"< 대구여행 시티투어 시간표에 맞춰서 매시간마다 버스가 있어요, 그 구간을 구경하면 또 다른구간을갈때 시간맞춰 버스를타면 대구 전 지역을 여행할 수 있답니다 :-D..."
